;ArretId;Longitude;Latitude;LigneId
0;11497;-73.536001;45.365728;345
6;11503;-73.665026;45.452827;345
17;11521;-73.5147939581491;45.3606506438308;345
18;11523;-73.5147939581491;45.3606506438308;345
21;11529;-73.5407995188962;45.3668353867916;345
22;11531;-73.5407995188962;45.3668353867916;345
35;11556;-73.6558863689166;45.4376361907861;345
36;11557;-73.6558863689166;45.4376361907861;345
43;11567;-73.6569767067354;45.4252077082655;345
44;11569;-73.6569767067354;45.4252077082655;345
61;11601;-73.6417387653488;45.4536719903492;345
64;11603;-73.6417387653488;45.4536719903492;345
67;11605;-73.6030995911778;45.4737620423281;345
70;11607;-73.6030995911778;45.4737620423281;345
75;11613;-73.570805750666;45.4947620353203;345
78;11615;-73.570805750666;45.4947620353203;345
123;11675;-73.5702973321214;45.3739389657168;345
124;11677;-73.5702973321214;45.3739389657168;345
125;11679;-73.6000979691623;45.3820335001678;345
126;11681;-73.6000979691623;45.3820335001678;345
1;11498;-73.93559;45.5502;346
19;11525;-73.7839319029124;45.5034295451525;346
20;11527;-73.7839319029124;45.5034295451525;346
23;11533;-73.9132333393944;45.5459573384475;346
24;11535;-73.9132333393944;45.5459573384475;346
25;11537;-73.8886389812954;45.5376121850531;346
26;11539;-73.8886389812954;45.5376121850531;346
49;11579;-73.8628881880326;45.5234974324605;346
50;11581;-73.8628881880326;45.5234974324605;346
51;11583;-73.8520708934612;45.5193470266457;346
52;11585;-73.8520708934612;45.5193470266457;346
81;11617;-73.6343512314225;45.5138896215388;346
83;11619;-73.6343512314225;45.5138896215388;346
99;11635;-73.5666664467233;45.4999926193153;346
102;11637;-73.5666664467233;45.4999926193153;346
117;11663;-73.8091338677806;45.5090871224706;346
118;11665;-73.8091338677806;45.5090871224706;346
129;11687;-73.7097712986331;45.5230083856647;346
130;11689;-73.7097712986331;45.5230083856647;346
131;11691;-73.6911657075008;45.528907990404;346
132;11693;-73.6911657075008;45.528907990404;346
133;11695;-73.6728077522494;45.5249599470795;346
134;11697;-73.6728077522494;45.5249599470795;346
149;11727;-73.6448157466987;45.5169003007672;346
151;11729;-73.6448157466987;45.5169003007672;346
3;11500;-73.55095;45.4853;347
37;11558;-73.5211862409531;45.7284847839545;347
38;11559;-73.5211862409531;45.7284847839545;347
39;11560;-73.4861098745643;45.73457759649;347
40;11561;-73.4861098745643;45.73457759649;347
55;11590;-73.5984941743556;45.7295780511182;347
56;11591;-73.5984941743556;45.7295780511182;347
82;11617;-73.6343512314225;45.5138896215388;347
84;11619;-73.6343512314225;45.5138896215388;347
85;11620;-73.5053396335276;45.6748668502272;347
86;11621;-73.5053396335276;45.6748668502272;347
87;11622;-73.5391645125645;45.6606521521568;347
88;11623;-73.5391645125645;45.6606521521568;347
89;11624;-73.5966570934621;45.6178584591404;347
90;11625;-73.5966570934621;45.6178584591404;347
91;11626;-73.615778056965;45.6003300616619;347
92;11627;-73.615778056965;45.6003300616619;347
93;11628;-73.6302614556486;45.5829837575918;347
94;11629;-73.6302614556486;45.5829837575918;347
95;11630;-73.6543379892286;45.5493989906651;347
96;11631;-73.6543379892286;45.5493989906651;347
97;11632;-73.6626595277141;45.535017049501;347
98;11633;-73.6626595277141;45.535017049501;347
100;11635;-73.5666664467233;45.4999926193153;347
103;11637;-73.5666664467233;45.4999926193153;347
150;11727;-73.6448157466987;45.5169003007672;347
152;11729;-73.6448157466987;45.5169003007672;347
2;11499;-73.14865;45.5838;348
57;11593;-73.229774103894;45.5460432080354;348
58;11595;-73.229774103894;45.5460432080354;348
59;11597;-73.1784993373486;45.5771886379972;348
60;11599;-73.1784993373486;45.5771886379972;348
101;11635;-73.5666664467233;45.4999926193153;348
104;11637;-73.5666664467233;45.4999926193153;348
121;11671;-73.3059218339024;45.5232970794913;348
122;11673;-73.3059218339024;45.5232970794913;348
135;11699;-73.3744074541639;45.512018918375;348
136;11701;-73.3744074541639;45.512018918375;348
137;11703;-73.4338230510271;45.5081364819483;348
138;11705;-73.4338230510271;45.5081364819483;348
139;11707;-73.505822079799;45.4996249918934;348
140;11709;-73.505822079799;45.4996249918934;348
4;11501;-73.97775;45.75606;349
7;11503;-73.665026;45.452827;349
13;11513;-73.8661597194296;45.672417585119;349
14;11515;-73.8661597194296;45.672417585119;349
45;11571;-73.742659032281;45.6037573160032;349
46;11573;-73.742659032281;45.6037573160032;349
47;11575;-73.7101020898893;45.5602790272218;349
48;11577;-73.7101020898893;45.5602790272218;349
53;11587;-73.7647463211559;45.6254300538811;349
54;11589;-73.7647463211559;45.6254300538811;349
62;11601;-73.6417387653488;45.4536719903492;349
65;11603;-73.6417387653488;45.4536719903492;349
68;11605;-73.6030995911778;45.4737620423281;349
71;11607;-73.6030995911778;45.4737620423281;349
73;11609;-73.6580302394954;45.5370481826374;349
74;11611;-73.6580302394954;45.5370481826374;349
76;11613;-73.570805750666;45.4947620353203;349
79;11615;-73.570805750666;45.4947620353203;349
105;11639;-73.6769009374472;45.5402419364859;349
106;11641;-73.6769009374472;45.5402419364859;349
107;11643;-73.6237794274432;45.5314844387945;349
108;11645;-73.6237794274432;45.5314844387945;349
115;11659;-73.7957392105248;45.6344962296449;349
116;11661;-73.7957392105248;45.6344962296449;349
127;11683;-73.999116574088;45.7731786028551;349
128;11685;-73.999116574088;45.7731786028551;349
141;11711;-73.8335478331048;45.6360297746069;349
142;11713;-73.8335478331048;45.6360297746069;349
5;11502;-74.06042;45.40567;350
8;11503;-73.665026;45.452827;350
9;11505;-73.8872557173005;45.4273946742413;350
10;11507;-73.8872557173005;45.4273946742413;350
11;11509;-73.847391976023;45.4349736654937;350
12;11511;-73.847391976023;45.4349736654937;350
15;11517;-73.9155583909618;45.4199073950824;350
16;11519;-73.9155583909618;45.4199073950824;350
27;11541;-73.7642548484703;45.4495938997837;350
28;11543;-73.7642548484703;45.4495938997837;350
29;11545;-73.7431076525197;45.4491999376701;350
30;11547;-73.7431076525197;45.4491999376701;350
31;11549;-74.1409350240092;45.4596284611522;350
32;11551;-74.1409350240092;45.4596284611522;350
33;11553;-73.7113237489741;45.4486782577965;350
34;11555;-73.7113237489741;45.4486782577965;350
41;11563;-73.9654246607855;45.3959228309534;350
42;11565;-73.9654246607855;45.3959228309534;350
63;11601;-73.6417387653488;45.4536719903492;350
66;11603;-73.6417387653488;45.4536719903492;350
69;11605;-73.6030995911778;45.4737620423281;350
72;11607;-73.6030995911778;45.4737620423281;350
77;11613;-73.570805750666;45.4947620353203;350
80;11615;-73.570805750666;45.4947620353203;350
109;11647;-73.8198778299671;45.442414831553;350
110;11649;-73.8198778299671;45.442414831553;350
111;11651;-73.8034394320935;45.4472468978668;350
112;11653;-73.8034394320935;45.4472468978668;350
113;11655;-73.7908728809287;45.4497451835371;350
114;11657;-73.7908728809287;45.4497451835371;350
119;11667;-73.9512126079595;45.4076060412765;350
120;11669;-73.9512126079595;45.4076060412765;350
143;11715;-73.9922728170067;45.3871716083424;350
144;11717;-73.9922728170067;45.3871716083424;350
145;11719;-74.0082543463005;45.3863907208218;350
146;11721;-74.0082543463005;45.3863907208218;350
147;11723;-74.0505567791293;45.3989996709264;350
148;11725;-74.0505567791293;45.3989996709264;350
